,Groundtruth,Predict
0,4.59,7.418329542
1,4.51,5.078703575
2,2.11,3.790126054
3,5.67,4.417076044
4,3.92,7.542416613
5,5.54,15.80584471
6,4.22,4.857040178
7,3.12,4.82419664
8,4,3.864404519
9,2.81,3.878021455
10,5.55,7.357784394
11,4.48,7.369658001
12,3.75,6.01519119
13,3.36,6.324941532
14,3.57,6.840265325
15,2.77,14.28419004
16,6.24,18.44990543
17,13.67,11.42777061
18,12.3,22.81300028
19,12.55,22.13219693
20,16.43,13.39330643
21,4.72,7.988548957
22,6.23,9.236407031
23,4.42,8.4970109
24,5.71,8.111515369
25,1.83,4.486156769
26,1.65,4.376229907
27,2.23,5.6375409
28,3.17,4.939850621
29,2.56,4.426848689
30,1.62,6.221434966
31,3.85,6.56691761
32,2.97,5.685531727
33,2.56,6.331228148
34,2.43,7.414565033
35,2.27,5.116485809
36,1.92,5.922065921
37,2.66,4.070040759
38,2.05,5.485363893
39,3.12,5.608280169
40,2.68,7.762047584
41,3.37,14.15356681
42,10.15,11.0416699
43,9.47,14.2911069
44,1.89,14.59764372
45,1.82,7.037071607
46,5.55,10.23750126
47,3.07,7.012833665
48,5.14,9.982859221
49,3.05,8.281529222
50,2.5,5.648991581
51,1.81,6.52734766
52,3.44,6.538045879
53,3.08,11.31066471
54,3.36,19.94336428
55,3.52,19.21864635
56,10.39,17.27429235
57,14.8,17.54818245
58,3.03,7.992589058
59,5.77,8.486471241
60,1.69,6.655813749
61,2.93,5.778900702
62,4.09,6.201494526
63,8.85,7.86523191
64,4.82,14.28730765
65,2.59,11.30744538
66,2.57,10.39781868
67,4.97,15.31663787
68,4.4,5.927029371
69,4.5,21.48552509
70,23.331,23.331
71,20.87,23.331
72,13.26,22.35805712
73,8.93,16.77744491
74,4.63,20.42537411
75,4.64,17.54266592
76,6.49,23.17604465
77,2.87,16.8314379
78,6,9.258474941
79,10.27,9.786548943
80,6.84,22.03672246
81,3.5,23.22210356
82,8.45,23.331
83,4.55,12.42846722
84,4.85,8.034796621
85,4.33,5.903923618
86,3.36,4.174799779
87,3.64,3.886558618
88,3.51,4.397366807
89,4.81,6.630469733
90,5.84,11.96565451
91,5.16,13.79918449
92,4.08,16.10313764
93,18.5,16.54656137
94,5.64,8.067648428
95,3.68,13.92122579
96,3.58,7.413283608
97,2.15,7.152790606
98,4.55,9.822941704
99,4.3,5.745385451
100,4.72,8.12560653
101,13.91,16.16404908
102,6.61,15.72095134
103,8.37,21.6232012
104,4.97,17.12037637
105,5.23,7.493822405
106,2.94,9.448696617
107,3.33,10.72152819
108,2.96,9.877427003
109,3.68,11.12290696
110,17.39,6.411718135
111,11.96,14.51891606
112,3.13,9.514997033
113,2.2,5.995144934
114,2.71,6.374446291
115,2.68,6.603702177
116,2.37,5.671666844
117,2.68,8.332055075
118,2.9,7.688499819
119,3.03,5.21595621
120,4.12,7.433391537
121,3.61,7.812256027
122,3.42,6.550526843
123,4.58,7.075431448
124,4.96,9.525274694
125,8.97,12.80366781
126,21.36,18.12368163
127,21.82,19.26017584
128,18.87,12.66884949
129,11.49,11.15895908
130,14.33,13.53991095
131,13.78,14.6625616
132,11.73,20.0472407
133,3.72,12.1566958
134,2.43,4.737730033
135,3.13,8.042937558
136,2.86,8.794093879
137,5.64,10.75668073
138,2.82,6.141064146
139,3.06,7.155237077
140,3.05,6.806353511
141,2.12,5.644549406
142,2.59,5.944787182
143,2.66,4.738059419
144,2.04,7.083129809
145,2.21,6.845817999
146,2.89,9.847067406
147,9.38,19.97917289
148,6.99,17.36471417
149,7.56,13.07378542
150,5.52,7.758663272
151,3.79,5.432871064
152,3.52,8.564820676
153,2.8,6.020940519
154,5.01,8.393108141
155,10.06,17.58107814
156,6.65,16.18401817
157,8.52,6.694284834
158,11.63,13.71334974
159,8.21,13.26692302
160,10.1,9.385790512
161,10.75,7.54180241
162,4.8,8.04029348
163,7.34,6.639407613
164,2.41,5.643081314
165,4.06,4.673118931
166,2.99,3.931562442
167,3.08,9.47964499
168,2.07,10.2356331
169,3.66,7.717879647
170,5.53,7.122371982
171,2.93,3.378005081
172,3.65,6.46107946
173,2.59,8.992163861
174,3.77,6.249470127
175,4.07,5.605726004
176,3.66,5.415032371
177,3.04,6.305303642
178,4.74,5.203563966
179,3.93,6.623490152
180,2.47,5.207957388
181,3.34,4.251823928
182,2.96,5.951968799
183,2.69,4.755988935
184,3.67,5.444786891
185,3.65,5.803797234
186,2.09,4.195767478
187,2.66,5.332604261
188,2.85,6.015246509
189,3.73,5.399883676
190,3.77,6.090843396
191,4.86,6.270726727
192,1.62,5.495506298
193,1.86,4.329923029
194,2.7,4.458628756
195,2.17,3.490740674
196,4.15,4.098549704
197,3.7,3.908654491
198,3.27,4.119807765
199,3.41,6.248273941
200,5.62,8.008454206
201,8.61,8.596098575
202,2.7,4.578965076
203,3.51,7.432350943
204,3.59,6.241355914
205,4.72,4.78381609
206,3.21,4.887601827
207,2.75,4.538683384
208,1.46,4.693743627
209,4.35,4.503512785
210,2.57,4.138712991
211,2.2,5.155122866
212,2.46,3.828974147
213,2.5,4.003197638
214,4.2,4.834964872
215,2.26,5.351308237
216,1.83,4.127276273
217,2.71,5.034795907
218,3.63,4.338292341
219,3.96,5.491494888
220,3.01,3.858525665
221,2.63,4.346017136
222,2.26,3.74989065
223,2.43,4.220970801
224,3.55,4.814496819
225,2.42,3.844124578
226,2.69,5.273794533
227,8.51,4.440163342
228,7.19,8.326167317
229,4.95,16.44354799
230,9.28,16.18124474
231,7.81,10.65294192
232,2.11,5.267361239
233,2.26,3.841570107
234,2.51,4.72016818
235,6.58,5.504498265
236,5.64,9.759748309
237,3.27,19.96981685
238,3.59,6.850460238
239,4.56,21.5418451
240,1.13,7.838379372
241,3.71,7.080395276
242,4.92,12.18173262
243,3.86,11.64882013
244,3.59,6.825491314
245,4.08,6.384231831
246,3.13,5.487419393
247,1.72,3.729059827
248,5.59,6.091170339
249,4.02,7.060789294
250,7.58,9.150722187
251,10.66,7.008527071
252,2.49,4.16505433
253,2.54,4.239160106
254,3.97,4.475544285
255,4.33,7.152540468
256,14.39,12.21096418
257,23.331,13.06716337
258,23.331,22.16788003
259,4.14,7.978773572
260,3.1,7.021600609
261,4.33,12.42631412
262,2.93,16.54284524
263,8.83,13.01747942
264,17.25,15.40606005
265,10.83,11.82076064
266,3.04,4.984999261
267,4.95,5.410141039
268,2.32,4.547158543
269,3.37,4.606986186
270,4.33,5.051122976
271,3.81,6.169181334
272,2.53,5.123374542
273,2.11,4.580625371
274,4.58,5.19140151
275,3.71,9.124981758
276,3.94,9.330754269
277,4.41,12.85326033
278,5.06,6.820977116
279,3.88,7.704532066
280,5.83,11.34077765
281,3.7,10.80445686
282,2.91,6.78789925
283,2.35,6.601010571
284,3.03,10.23206287
285,3.62,11.78235049
286,4.92,17.30799639
287,11.07,19.75188171
288,16.03,12.10363718
289,6.49,3.798604316
290,2.66,4.937148122
291,2.29,5.157299967
292,2.99,6.731369202
293,5.32,11.23613499
294,5.29,11.29926546
295,7.21,11.16977
296,5.81,19.16591302
297,3.41,20.37643826
298,14.29,20.32221868
299,8.12,14.55896952
300,4.12,11.65527993
301,2.73,14.08110242
302,6.81,19.60925538
303,14.72,18.47868037
304,23.331,23.331
305,3.83,23.331
306,3.52,12.54872099
307,6.87,16.09719359
308,2.9,12.28327668
309,2.53,9.008012769
310,2.63,6.044279195
311,2.72,7.078275001
312,4.92,13.76476097
313,7.11,7.009371023
314,3.73,8.680166341
315,6.24,14.78510038
316,3.2,7.649353589
317,4.98,11.53085679
318,4.26,15.72142993
319,4.04,8.789914217
320,2.75,4.969882985
321,2.44,4.278531233
322,3.06,4.929025696
323,2.91,5.665712394
324,4.43,5.554811991
325,2.46,3.838327862
326,1.35,3.86466785
327,2.29,11.80191934
328,3.3,6.559950972
329,8.62,8.667887752
330,5.79,20.85048758
331,3.13,9.139167592
332,4.16,6.701967503
333,15.08,15.02939696
334,8.84,23.331
335,4.37,22.46788017
336,4.98,22.64547565
337,3.4,13.89035983
338,3.92,19.61013722
339,16.11,22.26433626
340,23.331,20.45032938
341,9.62,15.48846979
342,3.98,11.98305726
343,4.13,11.66803458
344,4,9.662600798
345,4.05,10.62160943
346,8.07,10.81574811
347,7.8,10.35192373
348,11.64,13.10484359
349,16.04,16.47073972
350,13.53,19.37307274
351,4.34,22.63477342
352,4.65,19.64592951
353,5.56,22.65937506
354,14.08,22.55230263
355,3.71,7.366707964
356,2.93,14.17962411
357,2.4,4.767223671
358,2.67,5.614260378
359,3.36,4.97686676
360,2.68,6.621551385
361,4.57,17.00075896
362,18.4,15.2350931
363,20.17,16.88949919
364,8.17,21.37552284
365,5.31,14.65532821
366,2.3,7.248610575
367,2.84,10.12821363
368,2.41,14.91200149
369,2.59,9.144348556
370,5.54,20.8746697
371,9.33,15.0132437
372,7.38,17.33848967
373,5.87,22.03967559
374,3.27,11.01527506
375,3.17,9.035061578
376,3.09,8.467602831
377,3.1,7.209366563
378,2.35,4.858301781
379,3.24,7.91410719
380,1.7,9.495360688
381,4.5,14.27215499
382,8.38,20.54222104
383,7.22,23.331
384,8.28,21.23119978
385,11.39,18.37129964
386,5.71,23.331
387,23.331,23.331
388,14.77,23.331
389,13.72,21.69288182
390,14.45,21.82538152
391,15.07,21.61325806
392,20.68,16.10195512
393,3.73,7.487347628
394,5.13,4.161984097
395,5.13,9.749751895
396,3.84,11.39813084
397,4.73,7.789451379
398,4.34,7.075851657
399,4.48,4.714384697
400,4.41,8.570652448
401,8.96,11.43357414
402,8.59,15.38444042
403,3.63,11.71444591
404,11.17,18.45271164
405,5.11,22.94246015
406,6.31,23.05431751
407,7.92,21.95569885
408,8.15,22.84852579
409,16.63,13.66080087
410,19.37,16.77718288
411,13.64,12.37316336
412,5.27,15.2084132
413,6.43,14.09905857
414,11.05,17.82493452
415,3.24,14.01931002
416,3.46,10.51188444
417,2.43,7.821984772
418,2.46,5.739065395
419,1.67,4.406920422
