,Groundtruth,Predict
0,6.02,6.321007404
1,6.26,4.519742869
2,4.25,3.135387858
3,4.97,5.106718063
4,9.22,7.606326792
5,9.53,11.44603118
6,4.21,4.970204133
7,4.67,5.337912195
8,3.8,4.867043137
9,4.57,2.622826545
10,8.96,4.1118007
11,5.36,5.311159563
12,7.67,4.687518435
13,5.76,4.029158047
14,4.99,5.068521662
15,14.77,8.885795408
16,10.31,11.5559075
17,10.07,14.5331437
18,23.331,17.75019404
19,23.331,17.00234362
20,11.01,13.45224472
21,6.49,5.541303801
22,7.13,7.088798365
23,8.16,5.970818091
24,7.34,6.845048621
25,4.55,2.620354714
26,5.29,2.822742156
27,5.07,3.528922045
28,6.17,3.430271077
29,5.01,3.154312028
30,5.89,4.155921507
31,6.72,4.513758781
32,5.1,3.890091861
33,5.28,4.079404692
34,5.92,4.526246444
35,4.52,3.499049917
36,3.51,3.985157578
37,4.91,2.743945092
38,5.98,3.45403603
39,5.04,3.73828419
40,7.69,4.579967975
41,9.62,8.368577807
42,11.61,9.584245544
43,16.96,8.783263148
44,12.51,6.261987061
45,6.95,3.430578603
46,7.66,5.122290662
47,4.75,5.367203234
48,9.07,6.455140277
49,5.13,5.682337898
50,5.73,4.09077348
51,7.14,4.098101207
52,5.64,4.650314779
53,7.39,6.211511448
54,6.36,9.830594343
55,9.66,10.12205707
56,15.34,12.88614756
57,21.34,11.70749439
58,9.79,6.345464891
59,10.46,5.767351175
60,5.4,3.98207462
61,5.74,3.88801757
62,5.51,5.180621805
63,7.59,5.205654621
64,8.47,6.105216286
65,6.1,5.371379044
66,6.86,5.185771051
67,10.13,9.022873469
68,5.45,4.510427489
69,8.58,13.77098457
70,23.331,11.57514503
71,23.331,11.15468153
72,23.331,11.58342136
73,16,12.41468534
74,16.69,13.83412794
75,12.18,10.25166081
76,23.331,13.45897498
77,23.331,11.88997225
78,14.29,7.254471447
79,23.331,7.009924662
80,23.331,10.04059542
81,20.83,10.71915441
82,19.41,12.39255219
83,5.98,8.157027896
84,9.31,5.719354661
85,5.58,3.674396589
86,5.05,3.455156374
87,4.56,3.381915316
88,4.95,3.572372424
89,5.68,5.164134549
90,8.53,7.606221596
91,6.58,6.539030286
92,7.55,9.202634732
93,23.331,11.31234867
94,21.52,8.964832094
95,10.1,6.392443465
96,5.88,4.941884323
97,6.54,4.151337747
98,6.98,6.722441775
99,6.41,4.42291345
100,7.97,7.485664438
101,20.43,15.13196608
102,17.65,9.010522146
103,17.54,9.095035772
104,20.15,9.843014206
105,9.63,4.78057837
106,5.4,5.13007387
107,5.8,5.29747792
108,6.09,5.806643718
109,14.58,4.991145652
110,9.48,4.674202073
111,7.34,6.315678301
112,8.2,4.324102256
113,7.8,2.907763125
114,4.56,2.969201092
115,4.97,4.278376659
116,4.41,3.823644334
117,4.86,4.566018789
118,5.81,5.197490081
119,5.09,3.801080786
120,5.47,5.183111766
121,5.42,5.286510487
122,6.17,4.250169715
123,5.35,5.134301118
124,6.83,6.801862551
125,15.55,7.721433156
126,16.94,11.19341498
127,19.17,13.63486438
128,13.07,15.07585557
129,10.49,13.32730719
130,14.98,12.48285381
131,13.53,9.58957539
132,16.86,12.04891139
133,15.24,6.125629801
134,8.8,2.715095713
135,5.67,4.530500216
136,8.65,5.664950008
137,8.69,7.749453337
138,4.59,3.393017547
139,5.83,5.241386453
140,5.98,3.917687787
141,5.28,2.826534384
142,4.3,3.448589965
143,4.19,2.713166971
144,5.29,3.673102263
145,7.81,3.76359152
146,12.66,4.858555595
147,16.5,8.011744995
148,23.331,6.975588881
149,17.43,7.701621956
150,9.26,6.479896047
151,5.15,4.353668875
152,7.14,5.324415565
153,7.07,4.400042376
154,13.94,6.239068968
155,22.1,9.353940814
156,23.331,6.578784016
157,15.53,5.281164723
158,14.53,5.907358071
159,10.87,5.576896569
160,23.331,6.982568477
161,13.88,6.639165443
162,9.82,4.928253087
163,5.48,5.249438284
164,5.34,4.351745917
165,3.6,4.638256258
166,6.65,3.388079824
167,7.6,4.630967824
168,4.65,5.626966528
169,6.62,4.865528281
170,4.82,4.988966718
171,4.78,3.680279266
172,4.77,4.793315037
173,7.56,4.592459329
174,5.25,3.847816752
175,4.72,4.115518026
176,5.5,4.630663053
177,5.45,4.423902594
178,5.55,4.712820823
179,5.22,4.353868004
180,4.56,3.721832883
181,4.38,3.658569833
182,5.06,4.295565761
183,3.97,3.105286762
184,5.31,3.99017506
185,6.13,3.593015311
186,3.35,2.857122488
187,4.81,3.290866215
188,4.47,4.239449754
189,4.48,3.435835368
190,4.99,3.226345618
191,6.72,3.882784313
192,3.98,3.173888464
193,3.22,3.045444705
194,3.69,3.036460625
195,3.61,2.311865237
196,3.52,3.555577642
197,4.1,3.784242582
198,5.33,3.593830085
199,9.44,3.814099754
200,6.93,6.028395308
201,8.15,5.899354722
202,3.39,3.499108343
203,6.66,4.005931385
204,4.53,4.494114588
205,4.27,3.497082334
206,3.97,3.238951884
207,4.51,2.849859407
208,3.28,3.045290809
209,4.57,2.694623648
210,3.92,3.052415155
211,2.86,3.332757052
212,4.57,2.531634034
213,2.53,2.911651431
214,4.5,3.334439681
215,4.7,3.016098707
216,4.35,2.814088139
217,4.12,3.212963263
218,3.58,3.350909698
219,4.8,3.96396102
220,3.78,2.932690873
221,4.03,2.915829585
222,2.99,2.537074206
223,3.68,3.434344368
224,3.84,3.295374213
225,3.21,3.052100534
226,5.73,2.989334808
227,9.19,3.521563262
228,9.72,7.450079344
229,13.32,10.15504021
230,23.331,11.38945041
231,4.83,6.859499896
232,4.5,3.122755801
233,4.1,3.106723259
234,4.93,3.770955963
235,8.14,3.898545279
236,5.16,3.546647094
237,8.47,9.765644746
238,3.48,5.464871203
239,11.35,9.250818093
240,7.84,6.100313672
241,6.33,3.410899335
242,9.2,7.01108493
243,5.9,6.522579525
244,5.36,4.677316538
245,4.83,5.119178835
246,4.28,4.145674158
247,3.11,2.67230829
248,6.18,4.687746432
249,6.44,5.186203555
250,12.93,6.434283332
251,6.06,5.981345362
252,4.74,2.848057286
253,3.94,3.323515744
254,3.45,3.449695414
255,5.83,4.756718071
256,14.53,6.274928127
257,16.47,13.80451894
258,6.22,20.84843902
259,5.23,4.424927032
260,4.39,5.437029364
261,5.64,6.696897165
262,5.91,8.265997299
263,11.88,5.495413322
264,13.31,7.852683062
265,3.7,6.860173046
266,3.33,3.970549796
267,4.92,3.608050676
268,3.65,3.123296593
269,3.79,3.917275618
270,4.6,4.312035279
271,5.01,4.325475248
272,4.32,3.040456295
273,3.33,2.991914988
274,3.77,4.48886742
275,11.82,6.04731098
276,11.41,7.344212244
277,13.42,7.835217707
278,11.57,4.891824802
279,9.64,4.206891504
280,13.68,4.902974829
281,12.22,5.000225797
282,8.66,5.995995881
283,9.63,5.935939799
284,8.14,4.928068149
285,8.87,5.152878594
286,14.52,8.080481883
287,21.59,11.53104306
288,9.6,11.82934987
289,3.41,7.396091268
290,4.66,3.244360529
291,4.51,3.417573061
292,5.22,4.034731997
293,8.95,6.167095138
294,23.331,8.03864632
295,15.95,7.951571328
296,11.55,11.45605464
297,10.38,10.73997618
298,14.72,15.01472739
299,7.62,11.10815401
300,6.22,6.345712625
301,6.46,7.39108407
302,11.37,12.16342433
303,18.98,9.378169075
304,19.05,12.70903964
305,17.68,10.10578466
306,6.31,6.383072488
307,12.55,8.974175642
308,6.21,7.587871476
309,4.89,5.13230179
310,4.09,3.87987785
311,5.76,3.764305917
312,7.45,9.493670053
313,4.73,8.221027775
314,4.98,6.589229668
315,9.15,10.78914585
316,5.41,5.82161914
317,8.11,6.840971892
318,5.37,9.444772311
319,4.99,6.369682818
320,4.18,4.121506101
321,3.92,3.253997906
322,4.87,3.528835626
323,5.61,5.508885084
324,7.55,5.195441116
325,4.42,5.116485623
326,4.05,2.603873848
327,9.8,10.38700523
328,6.44,10.13335444
329,7.25,7.428258863
330,12.23,11.46275824
331,12.11,6.545729214
332,8.63,7.905273862
333,15.33,9.450288025
334,23.331,10.08308135
335,23.331,10.65351604
336,13.89,14.41100729
337,12.22,8.502985698
338,17.32,12.04109363
339,23.331,13.84595601
340,23.331,18.65614969
341,8.88,10.77195207
342,9.79,8.5454574
343,12.1,8.119732617
344,5.98,6.198876218
345,8.86,6.549277963
346,10.24,8.859642089
347,9.44,9.996498052
348,14.54,9.569604137
349,8.87,14.60451965
350,13.28,12.69001668
351,22.17,10.6044857
352,18.83,11.46194288
353,17.38,12.13909073
354,20.14,11.73389686
355,6.51,5.477009669
356,5.34,9.039240873
357,4.44,3.698199787
358,4.49,3.927267771
359,5.15,3.988625368
360,6.04,4.080959949
361,16.16,10.65818574
362,21.34,11.92905867
363,23.331,13.13758054
364,8.59,12.10554459
365,8.06,8.886538311
366,5.99,4.643216676
367,8.15,5.067327292
368,8.33,7.713379966
369,8.71,4.673448145
370,18.92,12.87444374
371,10.12,10.1795203
372,19.82,10.90766586
373,9.85,10.72661154
374,5.67,6.515676456
375,6.39,5.668061164
376,5.71,5.535543395
377,6.18,4.69423991
378,4.5,3.358669836
379,5.94,5.122058632
380,5.41,6.638134377
381,8.15,8.376670119
382,21.52,11.78529038
383,23.331,12.24180768
384,18.41,13.55887544
385,16.64,11.20992747
386,23.331,16.94924121
387,21.16,19.54094867
388,23.331,17.77469744
389,17.52,11.78447385
390,15.37,12.32386862
391,21.93,17.18810651
392,17.55,19.71137283
393,7.11,7.001532549
394,6.52,4.662187411
395,10.49,9.229194784
396,9.14,8.277578381
397,6.83,7.543272525
398,5.16,5.324199756
399,5.02,3.850200319
400,6.58,6.87227211
401,8.93,9.823216696
402,8.44,9.842228893
403,6.69,9.469657888
404,11.66,14.80013079
405,22.08,11.80534447
406,21.77,11.06695576
407,17.45,10.63660094
408,22.88,10.90018374
409,16.06,13.979825
410,20.91,18.44882113
411,12.72,16.06483103
412,9.16,8.248803493
413,11.91,10.02748707
414,14.87,8.615674318
415,7.37,8.214249243
416,7.26,6.510461424
417,6.42,4.792908057
418,5.69,4.061982964
419,5.2,3.115536189
420,5.42,4.500352855
421,5.23,3.713292014
422,5.25,3.178607424
423,5.64,3.797545553
424,5.82,4.36427558
425,6.47,4.662013241
426,5.14,3.737176553
427,5.91,7.151078586
428,4.72,6.181202705
429,4.61,5.824885502
430,7.3,6.206873751
431,8.7,7.091562778
432,7.44,5.214662928
433,10.15,4.717936122
434,15.18,11.21881128
435,17.49,12.43052514
436,8.55,12.99402681
437,10.11,8.12036028
438,10.62,10.44523609
439,20.25,11.28733434
440,14.88,11.03495801
441,5.4,4.043122409
442,7.11,3.700038514
443,7.35,3.853850498
444,5.81,4.29079541
445,5.25,3.909276102
446,6.44,4.655978355
447,17.08,9.488297762
448,21.66,15.72372899
449,11.77,10.71673878
450,7.28,10.64448575
451,23.331,12.73075362
452,21.47,14.98035129
453,9.58,6.343703465
454,9.3,6.103813769
455,6.74,5.488069291
456,6.75,5.035030943
457,10.13,6.675422278
458,11.29,10.24383653
459,6.86,7.246816495
460,7.03,5.533995015
461,9.35,8.300498748
462,23.331,9.022720059
463,23.331,14.87893665
464,23.331,16.48066373
465,5.89,5.066591669
466,7.53,5.276241365
467,7.28,5.776133468
468,6.84,4.863581814
469,5.91,5.200345774
470,5.72,4.010572553
471,6.26,4.458328644
472,6.05,4.55150554
473,14.25,4.254647813
474,16.49,4.666849272
475,14.89,8.329185386
476,9.47,8.108240709
477,6.28,5.131081662
478,7.48,5.549227446
479,7.06,5.947105639
480,4.9,3.601483624
481,4.9,3.657774207
482,5.6,5.09664475
483,6.58,5.81234701
484,7.96,7.798072573
485,7.74,11.47674206
486,5.7,10.0272246
487,14.45,14.5653011
488,12.72,7.626329643
489,11.59,8.864655677
490,6.96,4.935090101
491,12.69,10.9360402
492,9.7,8.061703876
493,10.45,4.754306136
494,12.7,4.528825249
495,15.37,4.095294282
496,15.62,13.40774354
497,12.27,7.32803567
498,6.91,7.234901396
499,4.59,3.519836931
500,7.48,4.07906661
501,10.35,4.601299923
502,5.44,4.39735244
503,5,5.071816128
504,4.85,4.889350176
505,4.47,4.420977161
506,5.31,4.189342328
507,7.36,4.939155312
508,7.98,4.472056505
509,11.9,5.828508625
510,17.7,7.083387456
511,9.55,8.941310725
512,6.97,7.506634823
513,9.31,2.675254907
514,9.67,4.937478952
515,5.3,4.489220992
516,8.53,4.074728449
517,10.33,4.321949079
518,11.88,5.514675369
519,4.55,6.490590874
520,4.37,3.836897334
521,3.66,2.427731051
522,3.43,1.90664639
523,4.27,3.401384606
524,6.12,2.852821261
525,6.08,3.484758507
526,9.08,4.209267257
527,8.41,5.216730013
528,6.24,5.032472693
529,6.93,4.981469652
530,12.14,6.407489534
531,7.94,6.511308114
532,6.33,5.919053027
533,6.66,5.0139691
534,6.79,5.176824027
535,10.7,8.313947643
536,14.25,8.737871052
537,18.59,8.0370155
538,9.88,9.874116559
539,5.74,4.596278907
540,4.39,4.661971678
541,4.66,4.806425064
