area	bcp_av	bcp_err	hpa_av	hpa_err	hach_av	hach_err
4.351965607	-5	0	3	0	4	0
5.222801077	-2	0	5	0	0	0
5.722186174	-2	0	6	0	0	0
5.826951355	-1	0	10	0	1	0
5.931127203	-3	0	6	0	0	0
8.653660322	0	0	12	0	0	0
9.879251138	-4	0	12	0	5	0
10.06614297	-4	0	15	0	8	0
10.07230668	-5	0	12	0	5	0
11.32053734	-0.33333333	1.713721224	17	0	4	0
15.19810682	-1	0	25	0	7	0
17.80657646	-5	0	24	0	6	0
18.94884496	2	0	27	0	0	0
19.07807348	0	0	27	0	2	0
19.27994169	-7	0	24	0	1	0
20.76335262	-2	0	26	0	6	0
21.28378639	-2.33333333	0.856860612	28	0	0	0
21.35194015	-5	0	33	0	2	0
22.2261117	-1	0	31	0	3	0
22.32010533	2	0	32	0	2	0
26.21234464	-2	0	42	0	1	0
27.62387618	-4.36363636	0.81023231	36	0	11	0
28.26672835	-6	0	38	0	34	0
30.93681948	-4	0	48	0	19	0
34.93159408	-2	0	46.2	0.555289021	9	0
35.0236839	-2	0	49	0	7	0
36.65119411	1	0	56	0	5	0
37.6934194	4	0	58	0	7	0
37.8481524	-2	0	30	0	15	0
38.42879589	3	0	54	0	10	0
39.59233429	-2	0	59	0	7	0
40.34453924	-1	0	60	0	4	0
42.42646718	-2	0	63	0	7	0
43.69130947	-2	0	63.2	0.555289021	11	0
45.48381176	-3	0	66	0	8	0
46.57408379	-9	0	42.5	0.574799573	15	0
48.26988354	-1	0	73	0	3	0
48.38619817	1	0	73	0	11	0
49.36330935	-1	0	69	0	0	0
50.01630913	3	0	74	0	15	0
50.61696143	1	0	73	0	12	0
51.87639569	3	0	78	0	17	0
52.91946936	5	0	75	0	18	0
52.9579074	-4	0	75	0	11	0
54.29318168	3	0	84	0	20	0
54.43930579	-9	0	80	0	22	0
55.02183234	-1	0	77	0	13	0
55.51335579	-8	0	77	0	13	0
57.02876707	-1	0	81	0	9	0
57.43268264	1	0	84	0	16	0
57.55002135	8	0	92	0	11	0
58.08479013	-6	0	83	0	11	0
58.14475592	3	0	85	0	10	0
58.18163944	5	0	89	0	17	0
59.84951788	3	0	90	0	11	0
60.11549426	-1	0	86	0	16	0
60.36834209	5	0	90	0	20	0
60.63142893	-4	0	83	0	20	0
60.72386296	7	0	76	0	11	0
60.99056073	-3	0	87	0	15	0
61.73032839	-3	0	92	0	19	0
62.84546224	2	0	94	0	24	0
63.19489583	6	0	97	0	21	0
63.38840924	-1	0	92.8181818	0.271760178	18	0
63.67677995	-3	0	94	0	15	0
64.07437775	-2	0	98	0	14	0
64.21272086	-3	0	95	0	17	0
64.8844446	4	0	99	0	27	0
66.22700227	5	0	97	0	13	0
66.50234672	1	0	99	0	19	0
66.94081523	5	0	102	0	21	0
67.25083833	-4	0	98	0	27	0
67.76353607	7	0	100	0	21	0
68.32212582	2	0	101	0	19	0
69.57681544	4	0	105	0	25	0
69.69095079	2	0	106	0	12	0
69.79069271	1	0	88	0	4	0
70.54788616	2	0	101.6666667	0.384334023	9	0
70.82414763	6	0	107	0	16	0
75.45902192	4	0	114	0	14	0
76.15670201	5	0	116	0	32	0
80.03549179	7	0	117	0	17	0
80.68082345	-5	0	116	0	27	0
81.92201887	1	0	122	0	21	0
82.0467712	-5	0	116	0	23	0
82.1817536	7	0	120	0	28	0
83.36543621	5	0	125	0	20	0
83.43235336	18	0	63	0	25	0
83.82835381	11	0	125	0	10	0
84.73664729	11	0	114	0	21	0
86.4831227	3	0	124	0	26	0
87.18136899	13	0	134	0	25	0
90.35408863	3	0	135	0	26	0
94.00459536	-3	0	141	0	16	0
94.01374798	-4	0	140	0	28	0
98.21965107	6	0	67	0	29	0
100.779304	-1	0	147	0	28	0
102.3022727	1	0	138	0	27	0
103.5935579	13	0	64	0	39	0
107.5878248	2	0	164	0	38	0
